month,total_rainfall
2010-01,69.5
2010-02,6.3
2010-03,238
2010-04,158.5
2010-05,157.5
2010-06,240.5
2010-07,298.5
2010-08,158.4
2010-09,121.5
2010-10,166.2
2010-11,278.8
2010-12,181.4
2011-01,513.2
2011-02,23
2011-03,256.6
2011-04,217.8
2011-05,127
2011-06,213
2011-07,76.6
2011-08,81.4
2011-09,136.4
2011-10,216.8
2011-11,377.8
2011-12,284.6
2012-01,106.1
2012-02,83.6
2012-03,313.4
2012-04,260.6
2012-05,292
2012-06,53
2012-07,130.8
2012-08,119
2012-09,107.6
2012-10,122.2
2012-11,208.2
2012-12,363.4
2013-01,262
2013-02,395.2
2013-03,85.8
2013-04,159.4
2013-05,211.4
2013-06,111.4
2013-07,174.6
2013-08,165.6
2013-09,257
2013-10,285.4
2013-11,292.4
2013-12,348.2
2014-01,75.4
2014-02,0.2
2014-03,66
2014-04,110
2014-05,125.8
2014-06,71.4
2014-07,148.6
2014-08,241
2014-09,83.6
2014-10,120
2014-11,250.8
2014-12,245.6
2015-01,79.6
2015-02,18.8
2015-03,84.4
2015-04,73.2
2015-05,89
2015-06,95.8
2015-07,116.8
2015-08,185.8
2015-09,61.6
2015-10,87.2
2015-11,72.6
2015-12,302.3
2016-01,126.6
2016-02,186
2016-03,6.2
2016-04,89.8
2016-05,193.8
2016-06,162.8
2016-07,168.6
2016-08,139.2
2016-09,118.9
2016-10,181
2016-11,290.2
2016-12,292.6
2017-01,197.6
2017-02,158.4
2017-03,136.2
2017-04,208.6
2017-05,190
2017-06,106
2017-07,79.6
2017-08,84.2
2017-09,124.4
2017-10,120.8
2017-11,268.6
2017-12,371.2
2018-01,287
2018-02,14.8
2018-03,44.6
2018-04,61.2
2018-05,132.2
2018-06,182.6
2018-07,143.2
2018-08,121.6
2018-09,144.4
2018-10,234.4
2018-11,169.6
2018-12,172.6
2019-01,63.6
2019-02,31.6
2019-03,72.2
2019-04,174.8
2019-05,69
2019-06,173.8
2019-07,12.2
2019-08,11.8
2019-09,22.8
2019-10,176.8
2019-11,137.4
2019-12,421.5
2020-01,88.4
2020-02,65
2020-03,108.8
2020-04,188
2020-05,255.6
2020-06,233.8
2020-07,140.8
2020-08,103.4
2020-09,150.2
2020-10,78.8
2020-11,220.6
2020-12,253.2
